16700071;16700723;1.05196274697537
16700071;16700724;1.11506658542954
16700071;16700725;1.11506658542954
16700071;16700720;1.11506658542954
16700071;16700726;0.0657150317695187
16700071;16700307;0.265218489517555
16700071;16700727;1.03081586259156
16700071;16700723;1.03081586259156
16700071;16700724;1.09270017681233
16700071;16700725;1.09270017681233
16700071;16700720;1.0515281636777
16700071;16700726;0.0644102045971205
16700072;16700728;1
16700072;16700729;1
16700072;16700069;1
16700072;16700071;1
16700072;16700730;1
16700073;16700278;0.0653569344485509
16700073;16700731;1.06289308176101
16700073;16700715;0.066459184335084
16700074;16700313;0.0648228176318064
16700074;16700732;1.03000370416101
16700074;16700733;1.02000246944067
16700074;16700734;0.0624768489937029
16700074;16700313;0.0666622577871834
16700074;16700732;1.06289266582898
16700074;16700733;1.06289266582898
16700074;16700734;0.0664638582104358
16700075;16700735;0.0723482269503546
16700075;16700736;0.00553191489361702
16700075;16700737;0.000921985815602837
16700075;16700663;9.21985815602837E-05
16700075;16700738;0.000119858156028369
16700075;16700653;0.00184397163120567
16700075;16700739;0.00921985815602837
16700075;16700650;0.00119858156028369
16700075;16700611;0.000921985815602837
16700075;16700740;0.000436442989634479
16700075;16700741;1.02018548827059
16700075;16700742;0.0277686852154937
16700075;16700735;0.0738247213779129
16700075;16700736;0.00564481111593574
16700075;16700737;0.000940801852655956
16700075;16700663;9.40801852655956E-05
16700075;16700738;0.000122304240845274
16700075;16700653;0.00188160370531191
16700075;16700739;0.00940801852655956
16700075;16700650;0.00122304240845274
16700075;16700611;0.000940801852655956
16700075;16700740;0.000542770299609205
16700075;16700741;1.02040816326531
16700075;16700742;0.0283326096396005
16700076;16598656;1
16700076;16598642;1
16700076;16700743;1
16700076;16700744;1
16700076;16700745;0.083
16700076;16598656;1
16700076;16598642;1
16700076;16700746;1
16700076;16700747;1
16700076;16700745;0.083
16700077;16700069;1
16700077;16700074;1
16700077;16700074;1
16700077;16700069;1
16700077;16700748;1.005
16700077;16700749;0.125
16700077;16700750;1
16700077;16700751;1.02
16700078;16700599;8.97955424571744E-05
16700078;16700676;8.97955424571744E-05
16700078;16700752;0.000448977712285872
16700078;16700753;0.000224488856142936
16700078;16700754;0.000897955424571744
16700078;16700736;0.00538773254743047
16700078;16700735;0.0826567968318291
16700078;16700740;0.000506538957450728
16700078;16700755;1.02039970528642
16700078;16700742;0.0283661816172407
16700079;16700756;1
16700079;16700075;1
16700079;16700757;1
16700080;16700315;0.20979020979021
16700080;16700758;1
16700080;16700759;1
16700080;16700760;0.0653346653346653
16700080;16700315;0.212630480167015
16700080;16700758;1.05198329853862
16700080;16700759;1.05198329853862
16700080;16700760;0.0657620041753653
16700081;16700075;2
16700081;16700761;1
16700081;16700742;0.06
16700081;16700075;2
16700082;16700090;1
16700082;16700763;1
16700082;16700512;0.166
16700082;16700497;0.667
16700083;16700764;1.06006768189509
16700083;16700765;1.06006768189509
16700083;16700766;1.01001128031585
16700083;16700720;1.06006768189509
16700083;16700721;0.0624647490129724
16700083;16700068;0.148054145516074
16700083;16700719;0.980400451212634
16700084;16700767;1.03027196938636
16700084;16700742;0.0278119447861145
16700084;16700740;0.00048380483804838
16700084;16700735;0.0715621156211562
16700084;16700736;0.00492004920049201
16700084;16700737;0.000820008200082001
16700084;16700663;8.20008200082001E-05
16700084;16700738;0.00010660106601066
16700084;16700653;0.001640016400164
16700084;16700768;0.000820008200082001
16700084;16700596;0.001230012300123
16700084;16700611;0.000820008200082001
16700085;16700067;0.0347009111939946
16700085;16700769;1.06609697370285
16700085;16700770;0.0668051555639488
16700085;16700771;1.06609697370285
16700086;16700156;1
16700086;16700091;1
16700086;16700772;1
16700086;16700749;0.125
16700087;16598641;2
16700087;16700773;1
16700088;16700317;0.158628387498702
16700088;16700774;1.05196760461011
16700088;16700775;1.05196760461011
